product,author,stars,sentiment,tags,free_text,clean_text,processed_text,tokens_lemma
cushion,lurvejulia,5,positive,{},My favorite cushion matte foundation  repeated many times  Love it,my favorite cushion matte foundation repeated many times love it,favorite cushion matte foundation repeated many time love,"['favorite', 'cushion', 'matte', 'foundation', 'repeated', 'many', 'time', 'love']"
cushion,tshooi,5,positive,{},The texture of this foundation is soft and smooth. It has a good coverage and it meets my expectations for daily use. Like the stunning jeans design.,the texture of this foundation is soft and smooth it has a good coverage and it meets my expectations for daily use like the stunning jeans design,texture foundation soft smooth good coverage meet expectation daily like stunning jean design,"['texture', 'foundation', 'soft', 'smooth', 'good', 'coverage', 'meet', 'expectation', 'daily', 'like', 'stunning', 'jean', 'design']"
cushion,s*****e,5,positive,"{'Beauty Profile': 'dry skin', 'Usage Experience': 'not try yet', 'Beauty Effect': 'matte  tq barang dh sampai, fast delivery, cantik & tak pecah , ada bubble wrap yg tebal & fast delivery . first time try this brand, harap harap okay laa yee'}","tq barang dh sampai, fast delivery, cantik & tak pecah , ada bubble wrap yg tebal & fast delivery . first time try this brand, harap harap okay laa yee",tq barang dh sampai cantik tak pecah ada bubble wrap yg tebal first time try this brand harap harap okay laa yee,barang sampai cantik tak pecah ada bubble wrap tebal try brand harap harap okay laa yee,"['barang', 'sampai', 'cantik', 'tak', 'pecah', 'ada', 'bubble', 'wrap', 'tebal', 'try', 'brand', 'harap', 'harap', 'okay', 'laa', 'yee']"
cushion,zazashasha123,5,positive,{},First time I bought the refill. I like the texture of this powder and the colour is just perfect for my skin. Long lasting and suitable to wear all day long...!,first time i bought the refill i like the texture of this powder and the colour is just perfect for my skin long lasting and suitable to wear all day long,refill like texture powder colour perfect skin long lasting suitable wear day long,"['refill', 'like', 'texture', 'powder', 'colour', 'perfect', 'skin', 'long', 'lasting', 'suitable', 'wear', 'day', 'long']"
cushion,lauraeusukhieng,5,positive,{},"Fell in love since first use! Always bought this at Watsons. Seen cheaper price on live on Shopee, didnt hesitate to place order! Must try! Recommended seller!",fell in love since first use always bought this at watsons seen cheaper price on live on shopee didnt hesitate to place order must try recommended seller,fell love since always watson seen cheaper live didnt hesitate place must try recommended,"['fell', 'love', 'since', 'always', 'watson', 'seen', 'cheaper', 'live', 'didnt', 'hesitate', 'place', 'must', 'try', 'recommended']"
cushion,a*****y,5,positive,{'Texture': 'smooth'},"Have always trusted Skintific products. Love the coverage. Lasting. Recommended brand, seller & good courier service 👍",have always trusted skintific products love the coverage lasting recommended brand seller good courier service,always trusted product love coverage lasting recommended brand good courier service,"['always', 'trusted', 'product', 'love', 'coverage', 'lasting', 'recommended', 'brand', 'good', 'courier', 'service']"
cushion,qissya16,5,positive,"{'Benefits': 'lasting product😘', 'Beauty Effect': 'matte for my oily skin , tahan lama sangat', 'Beauty Profile': '01 vanilla is mu shade , will repeat soon❤️'}","product😘 Beauty Effect:matte for my oily skin , tahan lama sangat Beauty Profile:01 vanilla is mu shade , will repeat soon❤️",product beauty effect matte for my oily skin tahan lama sangat beauty profile vanilla is mu shade will repeat soon,beauty effect matte oily skin tahan lama sangat beauty profile vanilla shade repeat soon,"['beauty', 'effect', 'matte', 'oily', 'skin', 'tahan', 'lama', 'sangat', 'beauty', 'profile', 'vanilla', 'shade', 'repeat', 'soon']"
cushion,o*****g,5,positive,"{'Benefits': 'lasting for whole day without touch up again', 'Packaging': 'packaging is so jeans and nice, love it!!!', 'Beauty Effect': 'good coverage, matte finished'}","Easy to carry, apply one time can last for whole day, intro fren to buy also!!",easy to carry apply one time can last for whole day intro fren to buy also,easy carry apply last whole day intro fren,"['easy', 'carry', 'apply', 'last', 'whole', 'day', 'intro', 'fren']"
cushion,n*****0,5,positive,"{'User Tips': 'spray setting spray dulu baru cushion fd', 'Benefits': 'water proof, oil control', 'Beauty Effect': 'matte'}","Sponge design tear drop easy application around nose and eye, perfect shade for me, bau x kuat sgt",sponge design tear drop easy application around nose and eye perfect shade for me bau x kuat sgt,sponge design tear drop easy application around nose eye perfect shade bau kuat sgt,"['sponge', 'design', 'tear', 'drop', 'easy', 'application', 'around', 'nose', 'eye', 'perfect', 'shade', 'bau', 'kuat', 'sgt']"
cushion,jccp1587,5,positive,"{'Beauty Profile': 'i have oily skin', 'Packaging': 'cute', 'User Tips': 'pair it with the skintific sunscreen'}","OMG this is the cutest cushion ever 😍 So small, compact, and it even comes with a keychain so I can bring it anywhere! I bought it during promotion and it’s totally worth it. This is honestly the best matte cushion I’ve tried, the coverage is so good I don’t even need concealer. It doesn’t cake, and my makeup stays on the whole day.  I have oily skin, and although I still get slightly oily (because that’s my skin type), it doesn’t get overly greasy. My friends even keep asking why my face looks so smooth and glowy ✨ Paired with a matte sunscreen, it’s the perfect combo!",omg this is the cutest cushion ever so small compact and it even comes with a keychain so i can bring it anywhere i bought it during promotion and it s totally worth it this is honestly the best matte cushion i ve tried the coverage is so good i don t even need concealer it doesn t cake and my makeup stays on the whole day i have oily skin and although i still get slightly oily because that s my skin type it doesn t get overly greasy my friends even keep asking why my face looks so smooth and glowy paired with a matte sunscreen it s the perfect combo,omg cutest cushion ever small compact come keychain bring anywhere promotion totally worth honestly best matte cushion tried coverage good need concealer cake makeup stay whole day oily skin although slightly oily skin type overly greasy friend keep asking face look smooth glowy paired matte sunscreen perfect combo,"['omg', 'cutest', 'cushion', 'ever', 'small', 'compact', 'come', 'keychain', 'bring', 'anywhere', 'promotion', 'totally', 'worth', 'honestly', 'best', 'matte', 'cushion', 'tried', 'coverage', 'good', 'need', 'concealer', 'cake', 'makeup', 'stay', 'whole', 'day', 'oily', 'skin', 'although', 'slightly', 'oily', 'skin', 'type', 'overly', 'greasy', 'friend', 'keep', 'asking', 'face', 'look', 'smooth', 'glowy', 'paired', 'matte', 'sunscreen', 'perfect', 'combo']"
cushion,r*****9,5,positive,"{'Beauty Profile': 'good', 'User Tips': 'good', 'Packaging': 'good'}",Recieve in a good condition.. so super cute saiz.. and easy to bring for travel..,recieve in a good condition so super cute saiz and easy to bring for travel,recieve good condition super cute saiz easy bring travel,"['recieve', 'good', 'condition', 'super', 'cute', 'saiz', 'easy', 'bring', 'travel']"
cushion,m*****1,5,positive,"{'Benefits': 'waterproofed', 'User Tips': 'use it with the sponge provided', 'Beauty Profile': 'good concealer and nice one'}",Service is super good and fast. Placed order and get the items within 3 days. Tq seller.,service is super good and fast placed order and get the items within days,service super good fast placed item within day,"['service', 'super', 'good', 'fast', 'placed', 'item', 'within', 'day']"
cushion,z*****n,5,positive,"{'Packaging': 'excellent', 'Usage Experience': 'nice texture, easy to blend', 'User Tips': 'apply nicely, rata2 kat muka and it will looks smooth ajer'}",Nice product. Casing jeans Limited edition. Tq seller,nice product casing jeans limited edition,nice casing jean limited edition,"['nice', 'casing', 'jean', 'limited', 'edition']"
cushion,w*****8,5,positive,"{'Beauty Effect': 'matte', 'Benefits': 'good waterproof  🔥非常推荐这个卖家哦🔥 🥑真心觉得很不错的一个卖家 🥑服务好价钱公道 🥑发货快🚚 🥑包装包得很好 ✨总体评价是5⭐✨  🔥'}",🔥非常推荐这个卖家哦🔥 🥑真心觉得很不错的一个卖家 🥑服务好价钱公道 🥑发货快🚚 🥑包装包得很好 ✨总体评价是5⭐✨  🔥This seller is highly recommended🔥 🥑Really feel very good a seller 🥑Good service 🥑Reasonable in prices 🥑Fast delivery🚚 🥑The packing is very good ✨The overall evaluation is 5⭐✨,this seller is highly recommended really feel very good a seller reasonable in prices the packing is very good the overall evaluation is,highly recommended feel good reasonable price packing good overall evaluation,"['highly', 'recommended', 'feel', 'good', 'reasonable', 'price', 'packing', 'good', 'overall', 'evaluation']"
cushion,nlsss,5,positive,{},Product is good. Seems to be waterproof and fade proof. Feels comfortable and not too heavy on the skin.,product is good seems to be waterproof and fade proof feels comfortable and not too heavy on the skin,good seems waterproof fade proof feel comfortable heavy skin,"['good', 'seems', 'waterproof', 'fade', 'proof', 'feel', 'comfortable', 'heavy', 'skin']"
cushion,a*****q,5,positive,{},I absolutely love how my skin looks after the finish—it's flawless and truly radiant.,i absolutely love how my skin looks after the finish it s flawless and truly radiant,absolutely love skin look finish flawless truly radiant,"['absolutely', 'love', 'skin', 'look', 'finish', 'flawless', 'truly', 'radiant']"
cushion,_*****h,5,positive,{},"Fast delivery and decent packaging. Medium coverage, oxidise slightly throughout the day. Although it’s matte, but it’s not super matte. My oily skin does become oily after a couple of hours.",and decent packaging medium coverage oxidise slightly throughout the day although it s matte but it s not super matte my oily skin does become oily after a couple of hours,decent medium coverage oxidise slightly throughout day although matte super matte oily skin become oily couple hour,"['decent', 'medium', 'coverage', 'oxidise', 'slightly', 'throughout', 'day', 'although', 'matte', 'super', 'matte', 'oily', 'skin', 'become', 'oily', 'couple', 'hour']"
cushion,jessica.t811,5,positive,{},"and light weight Beauty Profile:Age 40, Ivory Skin Tone, Combination Skin Type. Usage Experience:Tested in hand, haven't use on face. The Ivory skin tone suites me just nice and blend-in with my skin tone.",and light weight beauty profile age ivory skin tone combination skin type usage experience tested in hand haven t use on face the ivory skin tone suites me just nice and blend in with my skin tone,light weight beauty profile age ivory skin tone combination skin type usage experience tested hand face ivory skin tone suite nice blend skin tone,"['light', 'weight', 'beauty', 'profile', 'age', 'ivory', 'skin', 'tone', 'combination', 'skin', 'type', 'usage', 'experience', 'tested', 'hand', 'face', 'ivory', 'skin', 'tone', 'suite', 'nice', 'blend', 'skin', 'tone']"
cushion,tkhhklh,5,positive,"{'Packaging': 'in good condition', 'I may edit next time  User Tips': 'prep'}","In good condition, Ada bubble warp, and packaging dia is Soo cute",in good condition ada bubble warp and packaging dia is soo cute,good condition ada bubble warp dia soo cute,"['good', 'condition', 'ada', 'bubble', 'warp', 'dia', 'soo', 'cute']"
cushion,n*****i,5,positive,{},Fast delivery! Repeat untuk kod Ivory. Cushion yang best ringan.Recommended,repeat untuk kod ivory cushion yang best ringan recommended,repeat untuk kod ivory cushion yang best ringan recommended,"['repeat', 'untuk', 'kod', 'ivory', 'cushion', 'yang', 'best', 'ringan', 'recommended']"
cushion,inzulaikha,5,positive,{},"Love buying through Live because got more sale! Have used Skintific for two years or so and my skin is so smooth. I really love the brand. Also, i think the toner pad is a free gift so thank you!!!",love buying through live because got more sale have used skintific for two years or so and my skin is so smooth i really love the brand also i think the toner pad is a free gift so thank you,love buying live sale year skin smooth love brand think toner pad free gift,"['love', 'buying', 'live', 'sale', 'year', 'skin', 'smooth', 'love', 'brand', 'think', 'toner', 'pad', 'free', 'gift']"
cushion,ne_e4bt6ob,5,positive,{},"Perfect Stay Velvet Matte Cushion Foundation. I’ve Ive tried it on my face, and the texture blends well with my skin. The ivory shade suits my skin perfectly. I really like this matte cushion foundation. Fast delivery from the seller and courier, and the item arrived in good condition. I’ll definitely repurchase this great cushion foundation",perfect stay velvet matte cushion foundation i ve ive tried it on my face and the texture blends well with my skin the ivory shade suits my skin perfectly i really like this matte cushion foundation from the seller and courier and the item i ll definitely repurchase this great cushion foundation,perfect stay velvet matte cushion foundation ive tried face texture blend well skin ivory shade suit skin perfectly like matte cushion foundation courier definitely repurchase great cushion foundation,"['perfect', 'stay', 'velvet', 'matte', 'cushion', 'foundation', 'ive', 'tried', 'face', 'texture', 'blend', 'well', 'skin', 'ivory', 'shade', 'suit', 'skin', 'perfectly', 'like', 'matte', 'cushion', 'foundation', 'courier', 'definitely', 'repurchase', 'great', 'cushion', 'foundation']"
cushion,e*****o,5,positive,{},I am so in love w this matte foundation. So easy to put on. A must have this little cute one.,i am so in love w this matte foundation so easy to put on a must have this little cute one,love matte foundation easy put must little cute,"['love', 'matte', 'foundation', 'easy', 'put', 'must', 'little', 'cute']"
cushion,y*****9,5,positive,"{'Usage Experience': 'easy to apply', 'Beauty Effect': 'very smooth, love it  1/10'}","1/10 Placed order during live  2/10 Shipped out by seller  6/10 Received order  Best buy during live, more discount",placed order during live shipped out by seller received order best buy during live more discount,placed live shipped best live discount,"['placed', 'live', 'shipped', 'best', 'live', 'discount']"
cushion,t*****a,5,positive,{},"Long lasting and very smooth on the skin, tak bercapuk langsung. This is my second purchase and I’m really happy because I finally found a shade that truly matches me.  Both me and my sister use it — she has fairer skin than me, but the shade still suits both of us. Really nice for Asian skin tone with yellowish undertone, and most importantly it leher and muka warna sama. Will definitely repurchase again 💛",long lasting and very smooth on the skin tak bercapuk langsung this is my second purchase and i m really happy because i finally found a shade that truly matches me both me and my sister use it she has fairer skin than me but the shade still suits both of us really nice for asian skin tone with yellowish undertone and most importantly it leher and muka warna sama will definitely repurchase again,long lasting smooth skin tak bercapuk langsung happy finally found shade truly match sister fairer skin shade suit nice asian skin tone yellowish undertone importantly leher muka warna sama definitely repurchase,"['long', 'lasting', 'smooth', 'skin', 'tak', 'bercapuk', 'langsung', 'happy', 'finally', 'found', 'shade', 'truly', 'match', 'sister', 'fairer', 'skin', 'shade', 'suit', 'nice', 'asian', 'skin', 'tone', 'yellowish', 'undertone', 'importantly', 'leher', 'muka', 'warna', 'sama', 'definitely', 'repurchase']"
cushion,lindadoublel,5,positive,{},Second time buy with Skintific foundation Very like and love this product 😍😍 Thanks seller delivery toooooo fast because I urgent to use love u so much 😘😘😘,second time buy with skintific foundation very like and love this product thanks seller delivery toooooo fast because i urgent to use love u so much,foundation like love thanks toooooo fast urgent love,"['foundation', 'like', 'love', 'thanks', 'toooooo', 'fast', 'urgent', 'love']"
cushion,q*****2,5,positive,{},The Perfect Stay Velvet Matte Cushion smells so nice and feels smooth on my skin. I chose shade 00N..it fits me perfectly! Great quality for such a good price.,the perfect stay velvet matte cushion smells so nice and feels smooth on my skin i chose shade n it fits me perfectly great quality for such a good price,perfect stay velvet matte cushion smell nice feel smooth skin chose shade fit perfectly great quality good,"['perfect', 'stay', 'velvet', 'matte', 'cushion', 'smell', 'nice', 'feel', 'smooth', 'skin', 'chose', 'shade', 'fit', 'perfectly', 'great', 'quality', 'good']"
cushion,n*****y,5,positive,{},Item received in good condition.. Ordered on 31/08 & delivered on 04/09.. I’ve ordered many times & will definitely order again.. Thank you to the seller & runner.. Keep up the great work!,in good condition ordered on delivered on i ve ordered many times will definitely order again thank you to the seller runner keep up the great work,good condition ordered delivered ordered many time definitely runner keep great work,"['good', 'condition', 'ordered', 'delivered', 'ordered', 'many', 'time', 'definitely', 'runner', 'keep', 'great', 'work']"
cushion,f*****0,5,positive,"{'Beauty Profile': '37, oily skin, warm tone', 'Packaging': 'very neat packaging easy to carry with. 11g', 'Usage Experience': 'color suits my warm skin 100%! love the coverage. remember less is more. will repeat. thank you!'}","oily skin, warm tone Packaging:very neat packaging easy to carry with. 11g Usage Experience:color suits my warm skin 100%! love the coverage. remember less is more. will repeat. thank you!",oily skin warm tone packaging very neat packaging easy to carry with g usage experience color suits my warm skin love the coverage remember less is more will repeat thank you,oily skin warm tone neat easy carry usage experience color suit warm skin love coverage remember less repeat,"['oily', 'skin', 'warm', 'tone', 'neat', 'easy', 'carry', 'usage', 'experience', 'color', 'suit', 'warm', 'skin', 'love', 'coverage', 'remember', 'less', 'repeat']"
cushion,a*****_,5,positive,"{'User Tips': 'good', 'Beauty Effect': 'good', 'Beauty Profile': 'skin like'}",I love the finishing but back then I used the gold one so I just changed it there,i love the finishing but back then i used the gold one so i just changed it there,love finishing back gold changed,"['love', 'finishing', 'back', 'gold', 'changed']"
cushion,mimisanwar,5,positive,"{'Usage Experience': 'long-lasting', 'Beauty Effect': 'matte finishing', 'Packaging': 'good'}","My favourite cushion foundation. Tak tau berapa banyak refill dah beli. Love the effect on my skin. Makeup lasts long. Easy to use, tak bercapuk.",my favourite cushion foundation tak tau berapa banyak refill dah beli love the effect on my skin makeup lasts long easy to use tak bercapuk,favourite cushion foundation tak tau berapa banyak refill dah beli love effect skin makeup last long easy tak bercapuk,"['favourite', 'cushion', 'foundation', 'tak', 'tau', 'berapa', 'banyak', 'refill', 'dah', 'beli', 'love', 'effect', 'skin', 'makeup', 'last', 'long', 'easy', 'tak', 'bercapuk']"
cushion,f*****e,5,positive,{},"Quick delivery and excellent service! This cushion foundation perfect for oily skin. Lightweight yet provides great coverage. It controls shine effectively and lasts all day without needing touch up. The formula feels smooth and breathable. A reliable, long lasting product that keeps skin looking fresh. Will definitely repurchase. Highly recommended!",and excellent service this cushion foundation perfect for oily skin lightweight yet provides great coverage it controls shine effectively and lasts all day without needing touch up the formula feels smooth and breathable a reliable long lasting product that keeps skin looking fresh will definitely repurchase highly recommended,excellent service cushion foundation perfect oily skin lightweight yet provides great coverage control shine effectively last day without needing touch formula feel smooth breathable reliable long lasting keep skin looking fresh definitely repurchase highly recommended,"['excellent', 'service', 'cushion', 'foundation', 'perfect', 'oily', 'skin', 'lightweight', 'yet', 'provides', 'great', 'coverage', 'control', 'shine', 'effectively', 'last', 'day', 'without', 'needing', 'touch', 'formula', 'feel', 'smooth', 'breathable', 'reliable', 'long', 'lasting', 'keep', 'skin', 'looking', 'fresh', 'definitely', 'repurchase', 'highly', 'recommended']"
cushion,dierashaharudin,5,positive,"{'Usage Experience': 'easy to use', 'User Tips': 'just tap on your face', 'Packaging': 'nice design'}",Received my item in good condition. Well packed by seller and fast delivery by courier. Recommended 😊👍,received my item in good condition by seller and by courier recommended,good condition courier recommended,"['good', 'condition', 'courier', 'recommended']"
cushion,n*****a,5,positive,{},Byk2 cushion foundation.. Form skintific ni la paling best.. Grab  time sale jimat guys.. Denim packaging ni letopss sgt.. Love terukk,byk cushion foundation form skintific ni la paling best grab time sale jimat guys denim packaging ni letopss sgt love terukk,byk cushion foundation form paling best grab sale jimat guy denim letopss sgt love terukk,"['byk', 'cushion', 'foundation', 'form', 'paling', 'best', 'grab', 'sale', 'jimat', 'guy', 'denim', 'letopss', 'sgt', 'love', 'terukk']"
cushion,s*****6,5,positive,"{'Usage Experience': 'good', 'Beauty Profile': 'combination skin', 'User Tips': 'apply moisturiser'}","I think I need to buy 1 shade lighter. Thank you seller for the great quality, price.  Packaging is superb. 👍🏻👏",i think i need to buy shade lighter for the great quality price packaging is superb,think need shade lighter great quality superb,"['think', 'need', 'shade', 'lighter', 'great', 'quality', 'superb']"
cushion,ila471018,5,positive,"{'User Tips': 'apply softly', 'Beauty Profile': '41, oily skin, apply gently..smooth', 'Beauty Effect': 'natural'}",Received parcel in good condition. Good product quality. Reasonable price. High quality product. Thank you seller. Will repeat to buy if necessary.,received parcel in good condition good product quality reasonable price high quality product will repeat to buy if necessary,good condition good quality reasonable high quality repeat necessary,"['good', 'condition', 'good', 'quality', 'reasonable', 'high', 'quality', 'repeat', 'necessary']"
cushion,annaslwana04,5,positive,"{'Texture': 'blend easily with my skin', 'Coverage': 'coverage medium-high  i'}",i LOVE this cushion so much. suitable for my combination skin and the makeup its really flawless. no wonder why people bought this so much cause its really good. i just hoping for shade 00C they have the refill,i love this cushion so much suitable for my combination skin and the makeup its really flawless no wonder why people bought this so much cause its really good i just hoping for shade c they have the refill,love cushion suitable combination skin makeup flawless wonder people cause good hoping shade refill,"['love', 'cushion', 'suitable', 'combination', 'skin', 'makeup', 'flawless', 'wonder', 'people', 'cause', 'good', 'hoping', 'shade', 'refill']"
cushion,o*****p,5,positive,"{'Usage Experience': 'very nice', 'Beauty Effect': 'good , matte', 'Beauty Profile': 'sensitive and oily skin'}","Very nice, 2 times used already and matte to my skin.  The color also suit my skin tone very well Only took 2 days to arrive",very nice times used already and matte to my skin the color also suit my skin tone very well only took days to arrive,nice time already matte skin color suit skin tone well took day arrive,"['nice', 'time', 'already', 'matte', 'skin', 'color', 'suit', 'skin', 'tone', 'well', 'took', 'day', 'arrive']"
cushion,n*****8,5,positive,{},I got the hype why people buy this cushion. It's reallllyyy good. My make up tak crack lngsung pkai this one. The finishing sgt superb,i got the hype why people buy this cushion it s reallllyyy good my make up tak crack lngsung pkai this one the finishing sgt superb,hype people cushion reallllyyy good make tak crack lngsung pkai finishing sgt superb,"['hype', 'people', 'cushion', 'reallllyyy', 'good', 'make', 'tak', 'crack', 'lngsung', 'pkai', 'finishing', 'sgt', 'superb']"
cushion,imac_yiong,5,positive,"{'Beauty Profile': 'very suitable for all ages', 'Packaging': 'very nice pakaging', 'User Tips': 'can be use regulary'}",Fast shipping and value for money. Good packaging and no issue at all.,fast shipping and value for money and no issue at all,fast shipping value money issue,"['fast', 'shipping', 'value', 'money', 'issue']"
cushion,k*****u,5,positive,"{'Texture': 'good', 'Coverage': 'good'}",Received good conditions. Fast delivery. Cant wait to try it.,received good conditions cant wait to try it,good condition cant wait try,"['good', 'condition', 'cant', 'wait', 'try']"
cushion,a*****9,5,positive,{},"Easy to use, majestic finishing, affordable price, quality product and hold up form am to pm. Been using it almost a year on daily basis. This is might be my 6th refill. Stock it whenever on sale. Got this for rm20+ if not mistaken. Recommended",easy to use majestic finishing affordable price quality product and hold up form am to pm been using it almost a year on daily basis this is might be my th refill stock it whenever on sale got this for rm if not mistaken recommended,easy majestic finishing affordable quality hold form almost year daily basis might refill stock whenever sale mistaken recommended,"['easy', 'majestic', 'finishing', 'affordable', 'quality', 'hold', 'form', 'almost', 'year', 'daily', 'basis', 'might', 'refill', 'stock', 'whenever', 'sale', 'mistaken', 'recommended']"
